# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d04-x01-y01
XLabel=$m$
RatioPlotReference=/ALEPH_1996_S3486095/d04-x01-y01
YLabel=$1/N \, \text{d}{N}/\text{d}{m}$
Title=Thrust minor, $m$ (charged)
DrawOnly=/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d04-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d04-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.776000e-01	3.028283e-02	3.028283e-02
2.000000e-02	4.000000e-02	3.237000e+00	1.523187e-01	1.523187e-01
4.000000e-02	5.000000e-02	8.107000e+00	1.353514e-01	1.353514e-01
5.000000e-02	6.000000e-02	1.045000e+01	8.602325e-02	8.602325e-02
6.000000e-02	7.000000e-02	1.127000e+01	9.433981e-02	9.433981e-02
7.000000e-02	8.000000e-02	1.089000e+01	8.602325e-02	8.602325e-02
8.000000e-02	1.000000e-01	9.003000e+00	6.053924e-02	6.053924e-02
1.000000e-01	1.200000e-01	6.208000e+00	4.770744e-02	4.770744e-02
1.200000e-01	1.400000e-01	4.043000e+00	3.661967e-02	3.661967e-02
1.400000e-01	1.600000e-01	2.536000e+00	2.860070e-02	2.860070e-02
1.600000e-01	2.000000e-01	1.299000e+00	1.923538e-02	1.923538e-02
2.000000e-01	2.400000e-01	5.260000e-01	1.065317e-02	1.065317e-02
2.400000e-01	2.800000e-01	2.208000e-01	7.049113e-03	7.049113e-03
2.800000e-01	3.200000e-01	9.460000e-02	5.060632e-03	5.060632e-03
3.200000e-01	3.600000e-01	3.710000e-02	3.088689e-03	3.088689e-03
3.600000e-01	4.000000e-01	1.410000e-02	1.923538e-03	1.923538e-03
4.000000e-01	4.500000e-01	3.900000e-03	9.848858e-04	9.848858e-04
4.500000e-01	5.000000e-01	6.400000e-04	3.201562e-04	3.201562e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d04-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d04-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.706500e-01	2.065490e-03	2.065490e-03
2.000000e-02	4.000000e-02	3.098450e+00	8.801207e-03	8.801207e-03
