# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d195-x01-y01
XLabel=$\ln(y_\mathrm{cut})$
RatioPlotReference=/ALEPH_2004_S5765862/d195-x01-y01
YLabel=$\sigma(\text{2 jet})/\sigma(\text{inclusive})$
DrawOnly=/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d195-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d195-x01-y01
RatioPlot=1
Title=2-jet fraction ($E_\mathrm{CMS}=91.2$ GeV)
LegendYPos=0.6
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d195-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d195-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	1.600000e-04	2.300000e-04	2.300000e-04
-9.800000e+00	-9.600000e+00	1.700000e-04	1.822087e-04	1.822087e-04
-9.600000e+00	-9.400000e+00	2.800000e-04	2.922328e-04	2.922328e-04
-9.400000e+00	-9.200000e+00	4.500000e-04	4.315090e-04	4.315090e-04
-9.200000e+00	-9.000000e+00	7.300000e-04	6.583312e-04	6.583312e-04
-9.000000e+00	-8.800000e+00	1.230000e-03	9.980481e-04	9.980481e-04
-8.800000e+00	-8.600000e+00	2.010000e-03	1.378042e-03	1.378042e-03
-8.600000e+00	-8.400000e+00	3.400000e-03	1.847539e-03	1.847539e-03
-8.400000e+00	-8.200000e+00	5.930000e-03	2.286613e-03	2.286613e-03
-8.200000e+00	-8.000000e+00	1.009000e-02	2.711015e-03	2.711015e-03
-8.000000e+00	-7.800000e+00	1.684000e-02	3.059493e-03	3.059493e-03
-7.800000e+00	-7.600000e+00	2.772000e-02	3.699324e-03	3.699324e-03
-7.600000e+00	-7.400000e+00	4.346000e-02	4.497321e-03	4.497321e-03
-7.400000e+00	-7.200000e+00	6.553000e-02	5.625140e-03	5.625140e-03
-7.200000e+00	-7.000000e+00	9.434000e-02	6.781453e-03	6.781453e-03
-7.000000e+00	-6.800000e+00	1.295900e-01	8.514717e-03	8.514717e-03
-6.800000e+00	-6.600000e+00	1.711400e-01	1.016225e-02	1.016225e-02
-6.600000e+00	-6.400000e+00	2.176000e-01	1.182757e-02	1.182757e-02
-6.400000e+00	-6.200000e+00	2.668400e-01	1.296911e-02	1.296911e-02
-6.200000e+00	-6.000000e+00	3.173300e-01	1.293041e-02	1.293041e-02
-6.000000e+00	-5.800000e+00	3.671700e-01	1.287909e-02	1.287909e-02
-5.800000e+00	-5.600000e+00	4.155600e-01	1.270906e-02	1.270906e-02
-5.600000e+00	-5.400000e+00	4.618400e-01	1.272628e-02	1.272628e-02
-5.400000e+00	-5.200000e+00	5.055000e-01	1.189995e-02	1.189995e-02
-5.200000e+00	-5.000000e+00	5.472500e-01	1.170320e-02	1.170320e-02
-5.000000e+00	-4.800000e+00	5.865600e-01	1.075239e-02	1.075239e-02
-4.800000e+00	-4.600000e+00	6.243900e-01	9.739327e-03	9.739327e-03
